Species,Total_count,Relative_Abundance,Tow,Relative_Abundance_Filtered
Obelia_sp,894,0.2146458583,700,3.25E-03
Carcinus_maenas,847,0.2033613445,700,2.17E-03
Evadne_nordmanni,594,0.1426170468,700,8.91E-04
Calanus_sp,466,0.1118847539,700,2.23E-03
Centropages_sp,627,0.1505402161,700,0.00059456174
Acartia_sp,217,0.05210084034,700,2.01E-04
Paracalanus_sp,175,0.04201680672,700,4.22E-04
Gammarus_sp,124,0.02977190876,700,9.00E-05
Pseudocalanus_sp,124,0.02977190876,700,1.04E-04
Podon_polyphemoides,97,0.02328931573,700,1.51E-06