Species,Total_Count,Relative_Abundance,Tow,Relative_Abundance_Filtered
Centropages_sp,351995,0.4131212458,200,1506.9889
Acartia_sp,157513,0.1848661679,200,6.48E+02
Evadne_nordmanni,77361,0.09079524622,200,2.42E+02
Paracalanus_sp,66333,0.07785216152,200,1.13E+02
Temora_longicornis,60044,0.07047103533,200,2.10E+01
Oithona_sp,49402,0.05798098207,200,9.55E+01
Podon_polyphemoides,32736,0.03842082161,200,1.51E+00
Pseudocalanus_sp,32384,0.03800769449,200,2.10E+01
Copepod_nauplii,17873,0.02097676395,200,5.43E+01
Calanus_sp,6397,0.007507881104,200,2.93E+01